timestamp,ss.x,ss.y,ss.z,Dist,Bend
1702643132.312511,25535,16698,36116,19.35,6.21
1702642268.4427595,25404,22339,36017,23.88,2.23
1702642300.7890756,25758,62995,36160,32.83,8.27
1702641497.1581337,25079,28971,35929,13.37,3.19
1702643903.1212435,25944,7428,36055,19.31,10.21
1702643089.8293128,25121,32280,36062,5.86,4.15
1702641509.2384953,25230,23146,36185,20.87,3.22
1702643870.7893465,25365,28210,36054,10.36,4.17
1702642294.7167315,25466,15079,36089,32.88,2.27
1702643130.2814085,25450,21346,36063,19.36,4.21
1702643167.6325088,25668,15372,35858,28.31,10.25
1702643879.8938637,25621,16169,36085,10.31,10.17
1702643936.3528328,26058,9562,36064,32.86,4.27
1702643874.836189,25546,20535,36057,10.33,8.17
1702643158.5624733,25824,8001,36003,28.35,6.25
1702643112.0505383,25552,16496,36043,10.31,10.17
1702642300.7890756,25758,62995,36160,32.83,8.27
1702642302.8048086,25996,57098,36220,32.81,10.27
1702643160.5835316,25899,2382,36063,28.33,8.25
1702642270.4738984,25460,17596,36068,23.86,4.23
1702642279.5734782,25931,1992,36054,23.81,10.23
1702643883.9215152,25553,24680,35961,14.86,4.19
1702643169.6634045,25807,9563,36165,32.86,4.27
1702643942.41004,26426,57400,36019,32.81,10.27
1702641512.259298,25456,16091,36082,20.85,6.22
1702643132.312511,25571,16732,36147,19.35,6.21
1702643938.3684354,26310,3763,35918,32.85,6.27
1702643156.5469286,25769,13416,36252,28.36,4.25
1702643112.0505383,25552,16505,36043,10.31,10.17
1702643100.9455473,25111,31675,36070,10.38,2.17
1702642279.5734782,25906,2093,36038,23.81,10.23
1702643109.0240436,25445,16832,36073,10.31,10.17
1702642274.5362666,25832,7434,36211,23.83,8.23
1702643857.7089388,25332,31708,35913,5.86,4.15
1702642272.509981,25613,12445,36100,23.85,6.23
1702643139.3807168,25764,6862,36148,19.31,10.21
1702642261.39385,25480,11509,36146,19.33,8.21
1702643128.2503984,25401,25765,36097,19.38,2.21
1702643162.5991063,26121,62434,36102,28.31,10.25
1702643158.5624733,25846,7858,36093,28.35,6.25
1702642274.5362666,25759,7528,36254,23.83,8.23
1702643870.7893465,25377,28202,36295,10.36,4.17
1702642231.0841455,25192,27795,36111,10.36,4.17
1702643132.312511,25539,16662,36143,19.35,6.21
1702643109.0240436,25542,16808,36210,10.31,10.17
1702643132.312511,25546,16788,36085,19.35,6.21
1702643874.836189,25556,20619,36021,10.33,8.17
1702642272.509981,25631,12597,36288,23.85,6.23
1702643147.4548419,25805,7888,36092,23.83,8.23
1702643145.4339693,25707,13041,36075,23.85,6.23
1702641488.1195564,24906,29085,36151,5.85,6.15
1702642233.0946567,25271,24037,36179,10.35,6.17
1702642266.4360185,25623,6606,36160,19.31,10.21
1702642274.5362666,25773,7379,36212,23.83,8.23
1702643165.6256945,26121,61971,35884,28.31,10.25
1702643089.8293128,25184,32318,36255,5.86,4.15
1702643109.0240436,25443,16851,36108,10.31,10.17
1702643936.3528328,26143,9630,35957,32.86,4.27
1702643130.2814085,25513,21346,36159,19.36,4.21
1702641497.1581337,25147,28921,35905,13.37,3.19
1702643089.8293128,25196,32318,36255,5.86,4.15
1702643889.994591,25769,12619,36123,14.81,10.19
1702642268.4427595,25482,22339,36082,23.88,2.23
1702643169.6634045,25743,9563,36165,32.86,4.27
1702642279.5734782,25822,2149,36001,23.81,10.23
1702642263.4095538,25723,6912,36125,19.31,10.21
1702642266.4360185,25686,6505,36029,19.31,10.21
1702642302.8048086,25996,57064,36170,32.81,10.27
1702643156.5469286,25768,13358,36066,28.36,4.25
1702643132.312511,25571,16736,36008,19.35,6.21
1702643145.4339693,25711,12978,36221,23.85,6.23
1702643912.1659849,25908,12944,36059,23.85,6.23
1702642266.4360185,25623,6606,36174,19.31,10.21
1702643152.4816341,26006,2360,36064,23.81,10.23
1702643100.9455473,25223,31705,36102,10.38,2.17
1702641497.1581337,25055,28941,35856,13.37,3.19
1702641509.2384953,25198,23196,35975,20.87,3.22
1702641488.1195564,24901,29065,35931,5.85,6.15
1702642268.4427595,25468,22336,36098,23.88,2.23
1702642259.3680863,25463,16225,36103,19.35,6.21
1702643139.3807168,25790,6862,36148,19.31,10.21
1702643156.5469286,25753,13404,36088,28.36,4.25
1702643130.2814085,25478,21390,36254,19.36,4.21
1702641503.2050095,25315,16671,36136,13.32,9.19
1702641503.2050095,25313,16655,36111,13.32,9.19
1702643169.6634045,25856,9556,36190,32.86,4.27
1702641503.2050095,25372,16617,36200,13.32,9.19
1702643173.6793926,26149,63253,36083,32.83,8.27
1702643929.3189554,26143,62510,36007,28.31,10.25
1702643115.1181831,25391,29015,36186,14.88,2.19
1702643885.9372668,25656,20426,36193,14.85,6.19
1702643881.9005265,25416,28774,36076,14.88,2.19
1702643889.994591,25739,12746,36088,14.81,10.19
1702642294.7167315,25434,15136,36128,32.88,2.27
1702641482.0869937,25037,51823,36004,5.96,-7.85
1702643879.8938637,25650,16186,36124,10.31,10.17
1702641512.259298,25299,16032,36135,20.85,6.22
1702641509.2384953,25199,23264,36094,20.87,3.22
1702643936.3528328,26113,9567,36000,32.86,4.27
1702643109.0240436,25545,16877,36136,10.31,10.17
1702643899.0898507,25682,16728,36078,19.35,6.21
1702643903.1212435,25924,7395,36082,19.31,10.21
1702642272.509981,25642,12420,36039,23.85,6.23
1702642270.4738984,25485,17534,35984,23.86,4.23
1702643156.5469286,25746,13363,36180,28.36,4.25
1702643112.0505383,25523,16496,36042,10.31,10.17
1702643167.6325088,25730,15346,36049,28.31,10.25
1702643112.0505383,25523,16496,36043,10.31,10.17
1702643903.1212435,25866,7422,36090,19.31,10.21
1702643145.4339693,25780,12978,36221,23.85,6.23
1702642215.9264987,24992,34966,36297,5.88,2.15
1702643109.0240436,25445,16832,36210,10.31,10.17
1702642268.4427595,25438,22356,36026,23.88,2.23
1702643112.0505383,25510,16489,36098,10.31,10.17
1702643938.3684354,26310,3779,35978,32.85,6.27
1702643874.836189,25556,20619,36021,10.33,8.17
1702641482.0869937,24910,51853,36070,5.96,-7.85
1702643089.8293128,25107,32343,35940,5.86,4.15
1702642259.3680863,25465,16240,36122,19.35,6.21
1702643936.3528328,26105,9538,35972,32.86,4.27
1702641503.2050095,25372,16639,36137,13.32,9.19
1702643152.4816341,25965,2386,36048,23.81,10.23
1702643132.312511,25539,16698,36116,19.35,6.21
1702643162.5991063,26071,62472,35894,28.31,10.25
1702642266.4360185,25684,6511,36094,19.31,10.21
1702643139.3807168,25790,6949,36131,19.31,10.21
1702642261.39385,25501,11551,36051,19.33,8.21
1702643929.3189554,26152,62550,35979,28.31,10.25
1702643104.9972658,25296,24796,36019,10.35,6.17
1702643130.2814085,25450,21395,36053,19.36,4.21
1702642263.4095538,25756,6867,36211,19.31,10.21
1702643899.0898507,25659,16829,36026,19.35,6.21
1702643156.5469286,25729,13372,36066,28.36,4.25
1702643885.9372668,25590,20417,36142,14.85,6.19
1702642253.2943385,25594,11069,36143,14.81,10.19
1702643936.3528328,26101,9630,35957,32.86,4.27
1702643903.1212435,25866,7387,36061,19.31,10.21
1702643104.9972658,25338,24838,36203,10.35,6.17
1702643132.312511,25539,16736,36008,19.35,6.21
1702643147.4548419,25805,7988,35983,23.83,8.23
1702643095.9171698,25348,20999,36078,5.82,10.15
1702643870.7893465,25453,28194,36012,10.36,4.17
1702641482.0869937,25097,51823,35972,5.96,-7.85
1702642231.0841455,25181,27821,35971,10.36,4.17
1702643921.266128,25789,18763,36048,28.38,2.25
1702642263.4095538,25723,6833,36169,19.31,10.21
1702642294.7167315,25533,15018,36171,32.88,2.27
1702643132.312511,25546,16692,36193,19.35,6.21
1702643115.1181831,25181,29074,36186,14.88,2.19
1702643881.9005265,25416,28774,36076,14.88,2.19
1702643160.5835316,26004,2384,36084,28.33,8.25
1702643885.9372668,25589,20464,36193,14.85,6.19
1702643156.5469286,25729,13373,36111,28.36,4.25
1702643936.3528328,26101,9467,35989,32.86,4.27
1702643912.1659849,25912,12996,36138,23.85,6.23
1702643859.719445,25364,28095,36046,5.85,6.15
1702643143.4030747,25579,17965,35908,23.86,4.23
1702643857.7089388,25329,31688,35914,5.86,4.15
1702643859.719445,25360,28181,36206,5.85,6.15
1702643169.6634045,25743,9636,36165,32.86,4.27
1702642233.0946567,25293,24037,35972,10.35,6.17
1702642263.4095538,25582,6867,36211,19.31,10.21
1702643104.9972658,25415,24786,35981,10.35,6.17
1702643899.0898507,25634,16761,36161,19.35,6.21
1702642261.39385,25501,11619,36066,19.33,8.21
1702643879.8938637,25621,16308,36125,10.31,10.17
1702641503.2050095,25278,16662,36133,13.32,9.19
1702642231.0841455,25275,27764,36100,10.36,4.17
1702642274.5362666,25826,7451,36191,23.83,8.23
1702643859.719445,25290,28095,36046,5.85,6.15
1702643089.8293128,25121,32317,36043,5.86,4.15
1702643139.3807168,25764,6918,36085,19.31,10.21
1702643145.4339693,25780,13077,36087,23.85,6.23
1702641491.1248856,25218,23828,35989,5.82,9.15
1702643115.1181831,25246,29012,36247,14.88,2.19
1702642231.0841455,25298,27871,35962,10.36,4.17
1702643147.4548419,25808,7916,36206,23.83,8.23
1702642279.5734782,25845,2045,36347,23.81,10.23
1702643128.2503984,25285,25840,36084,19.38,2.21
1702643160.5835316,25957,2401,36196,28.33,8.25
1702643130.2814085,25442,21346,36063,19.36,4.21
1702643883.9215152,25452,24639,36073,14.86,4.19
1702643895.038016,25521,25760,36044,19.38,2.21
1702641482.0869937,25007,51912,36090,5.96,-7.85
1702643936.3528328,26113,9519,36067,32.86,4.27
1702643095.9171698,25279,20961,36050,5.82,10.15
1702642279.5734782,25843,2019,35992,23.81,10.23
1702643859.719445,25290,28181,36206,5.85,6.15
1702643910.1502578,25783,17805,36125,23.86,4.23
1702643895.038016,25597,25818,36134,19.38,2.21
1702643145.4339693,25733,12970,36047,23.85,6.23
1702643929.3189554,26145,62604,36053,28.31,10.25
1702643165.6256945,26092,62038,35985,28.31,10.25
1702642233.0946567,25300,24080,36198,10.35,6.17
1702642215.9264987,25212,34915,36119,5.88,2.15
1702643859.719445,25306,28110,36015,5.85,6.15
1702643121.1806586,25484,16344,36147,14.83,8.19
1702643147.4548419,25808,7968,36052,23.83,8.23
1702643912.1659849,25908,12875,36173,23.85,6.23
1702641509.2384953,25201,23204,35995,20.87,3.22
1702643936.3528328,26058,9589,36032,32.86,4.27
1702642253.2943385,25592,11073,36230,14.81,10.19
1702642302.8048086,25889,57053,36184,32.81,10.27
1702642270.4738984,25460,17596,36068,23.86,4.23
1702643912.1659849,25901,12961,36136,23.85,6.23
1702641497.1581337,25155,28969,36022,13.37,3.19
1702642272.509981,25631,12554,36064,23.85,6.23
1702642231.0841455,25216,27755,36094,10.36,4.17
1702642274.5362666,25729,7457,36133,23.83,8.23
1702643128.2503984,25414,25923,36029,19.38,2.21
1702642294.7167315,25434,15131,36101,32.88,2.27
1702642231.0841455,25219,27852,36210,10.36,4.17
1702643139.3807168,25800,6918,36085,19.31,10.21
1702643156.5469286,25768,13358,36147,28.36,4.25
1702643165.6256945,26120,62055,35969,28.31,10.25
1702642231.0841455,25298,27844,36111,10.36,4.17
1702643119.1651123,25512,20814,35998,14.85,6.19
1702643171.6740537,26017,3691,36000,32.85,6.27
1702642233.0946567,25293,24037,36179,10.35,6.17
1702641485.0935757,24973,34589,35996,5.87,3.15
1702643152.4816341,25886,2464,36133,23.81,10.23
1702642259.3680863,25511,16227,36215,19.35,6.21
1702643881.9005265,25454,28703,36165,14.88,2.19
1702643885.9372668,25656,20426,36104,14.85,6.19
1702643109.0240436,25515,16877,36136,10.31,10.17
1702643147.4548419,25841,7951,35992,23.83,8.23
1702642233.0946567,25277,24068,36111,10.35,6.17
1702643132.312511,25539,16662,36121,19.35,6.21
1702642231.0841455,25244,27824,36047,10.36,4.17
1702642233.0946567,25222,24080,36198,10.35,6.17
1702641482.0869937,25037,51823,35972,5.96,-7.85
1702643165.6256945,26020,62055,35969,28.31,10.25
1702643132.312511,25535,16788,36085,19.35,6.21
1702643167.6325088,25668,15346,36049,28.31,10.25
1702643139.3807168,25806,6882,36187,19.31,10.21
1702641503.2050095,25332,16614,36424,13.32,9.19
1702643173.6793926,26047,63351,36059,32.83,8.27
1702643121.1806586,25519,16551,36021,14.83,8.19
1702642266.4360185,25684,6511,36094,19.31,10.21
1702642231.0841455,25143,27852,36210,10.36,4.17
1702643883.9215152,25559,24650,36084,14.86,4.19
1702642263.4095538,25617,6946,36022,19.31,10.21
1702642261.39385,25629,11566,36064,19.33,8.21
1702642261.39385,25627,11509,36146,19.33,8.21
1702643169.6634045,25850,9556,36190,32.86,4.27
1702642231.0841455,25216,27871,35962,10.36,4.17
1702643942.41004,26460,57400,36019,32.81,10.27
1702643119.1651123,25448,20785,36122,14.85,6.19
1702643912.1659849,25901,12914,36155,23.85,6.23
1702643104.9972658,25387,24678,36169,10.35,6.17
1702642253.2943385,25601,11139,36096,14.81,10.19
1702641488.1195564,24992,29136,36076,5.85,6.15
1702643160.5835316,25961,2384,36084,28.33,8.25
1702641512.259298,25297,16012,36041,20.85,6.22
1702643158.5624733,25866,7916,36040,28.35,6.25
1702641491.1248856,25160,23719,36054,5.82,9.15
1702643158.5624733,25854,7916,36040,28.35,6.25
1702643940.3840814,26362,63184,36061,32.83,8.27
1702643152.4816341,26037,2412,36006,23.81,10.23
1702643119.1651123,25468,20786,36045,14.85,6.19
1702643899.0898507,25690,16758,36072,19.35,6.21
1702643109.0240436,25515,16913,36155,10.31,10.17
1702641485.0935757,24953,34539,36157,5.87,3.15
1702643121.1806586,25551,16518,36056,14.83,8.19
1702643139.3807168,25801,6931,36030,19.31,10.21
1702643899.0898507,25690,16770,36120,19.35,6.21
1702643162.5991063,26001,62472,35894,28.31,10.25
1702643938.3684354,26324,3775,36108,32.85,6.27
1702643929.3189554,26219,62483,36007,28.31,10.25
1702642294.7167315,25468,15036,36059,32.88,2.27
1702641491.1248856,25141,23766,35979,5.82,9.15
1702643095.9171698,25389,20961,36050,5.82,10.15
1702643139.3807168,25682,6882,36187,19.31,10.21
1702643921.266128,25788,18753,35999,28.38,2.25
1702643881.9005265,25451,28715,36121,14.88,2.19
1702643929.3189554,26143,62596,35930,28.31,10.25
1702642270.4738984,25483,17601,35984,23.86,4.23
1702643145.4339693,25707,12998,36093,23.85,6.23
1702643859.719445,25304,28092,36015,5.85,6.15
1702643173.6793926,26047,63188,36059,32.83,8.27
1702643112.0505383,25509,16548,36075,10.31,10.17
1702643095.9171698,25334,21045,36157,5.82,10.15
1702643139.3807168,25682,6952,36110,19.31,10.21
1702642246.216064,25449,20054,35986,14.85,6.19
1702641485.0935757,24830,34641,36005,5.87,3.15
1702643861.724885,25320,24438,36111,5.83,8.15
1702643132.312511,25532,16692,36193,19.35,6.21
1702643165.6256945,26081,62015,36032,28.31,10.25
1702643128.2503984,25342,25880,36099,19.38,2.21
1702643089.8293128,25131,32305,36277,5.86,4.15
1702641503.2050095,25313,16617,36200,13.32,9.19
1702641497.1581337,25079,28971,36012,13.37,3.19
1702643859.719445,25360,28129,36080,5.85,6.15
1702642270.4738984,25558,17496,36086,23.86,4.23
1702642272.509981,25648,12445,36100,23.85,6.23
